SCHL,ESR,WKHP,WAGP,COW,INDP,OCCP,AGEP,SEX,RAC1P,MAR,NATIVITY,DRIVESP,HICOV,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,DIS,CIT,ENG,LANX,FER,poverty_status
05,,,,,,,9,1,1,5,1,,1,2,2,2,1,2,2,2,2,1,,2,,0
12,,,0,,,,15,2,9,5,1,,1,2,2,2,2,1,2,2,2,1,,2,2,0
02,,,,,,,6,1,6,5,1,,1,2,2,2,1,2,2,2,2,1,1,1,,0
05,,,,,,,8,1,9,5,1,,1,2,2,2,1,2,2,2,2,1,,2,,0
21,1,40,110000,1,6991,0540,59,1,9,3,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
16,2,40,37800,1,6992,5740,35,2,8,1,1,,1,2,2,2,1,2,2,2,2,1,1,1,1,0
12,6,,0,,,,17,1,9,5,1,,1,2,2,2,1,2,2,2,2,1,1,1,,0
22,1,40,63000,4,7870,2555,30,2,9,5,1,5,1,1,2,2,2,2,2,2,2,1,1,1,2,0
19,1,40,20000,1,8980,4522,44,2,3,5,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
19,1,40,27800,1,7480,3648,24,2,1,5,1,1,1,2,1,2,2,2,2,2,2,1,,2,2,0
22,1,50,134000,3,7860,0230,46,2,1,5,1,1,1,1,2,2,2,2,2,2,2,1,,2,2,0
12,6,,0,,,,16,2,8,5,2,,1,2,1,2,1,2,2,2,2,4,3,1,2,0
16,1,40,18000,1,4871,9620,33,1,2,5,1,,2,2,2,2,2,2,2,2,2,1,1,1,,0
24,1,20,60000,1,8070,3040,43,2,6,1,2,1,2,2,2,2,2,2,2,2,2,4,,2,2,0
21,6,,0,,,,62,2,6,1,2,,1,1,2,2,1,2,2,2,2,5,2,1,,0
17,1,36,13000,1,0170,6050,59,2,8,1,2,1,1,1,2,2,2,2,2,2,2,5,1,1,,0
09,,,,,,,12,1,1,5,1,,1,1,2,2,2,2,2,2,2,1,1,1,,0
21,6,,0,1,5392,5240,62,2,6,3,2,,1,1,2,2,2,2,2,2,1,4,2,1,,0
16,1,40,28500,3,8090,5810,47,2,1,5,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,0
13,6,,0,,,,16,1,9,5,1,,1,1,1,2,2,2,2,2,2,1,,2,,0
19,1,40,40000,1,7071,0630,33,2,6,5,2,,1,1,2,2,2,2,2,2,2,5,,2,2,0
,,,,,,,2,1,9,5,1,,1,2,2,2,1,2,2,2,2,1,,,,0
19,1,6,1000,4,7860,2545,18,2,9,5,1,2,1,2,2,2,1,2,2,2,2,1,1,1,2,0
21,6,,0,,,,56,2,1,3,1,,1,2,1,2,2,2,2,2,2,1,,2,,1
16,6,,0,,,,58,2,1,5,1,,1,2,2,1,1,2,2,2,1,1,,2,,1
19,6,,0,3,7860,2330,65,2,1,1,1,,1,2,2,1,2,2,2,2,2,1,,2,,0
19,1,30,6000,1,8170,3602,39,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,,2,2,0
21,1,40,80000,2,6570,2710,33,1,2,1,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
16,1,8,4200,1,7890,2350,21,1,9,5,1,1,2,2,2,2,2,2,2,2,2,1,3,1,,0
16,6,,0,6,6380,5510,46,1,1,1,2,,1,2,2,2,1,2,2,2,2,4,,2,,0
02,,,,,,,6,1,3,5,1,,1,2,2,2,1,2,2,2,2,1,2,1,,0
19,1,40,95000,3,9370,0630,51,2,7,5,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
17,1,30,200000,7,6992,4810,64,2,1,3,1,,1,2,1,2,2,2,2,2,2,1,,2,,0
21,1,15,19000,1,0180,5120,55,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
21,1,24,29000,1,8191,3603,28,2,9,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,0
20,6,,0,,,,42,2,9,1,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
22,6,,0,1,6881,0845,68,2,6,1,2,,1,2,2,1,2,2,2,2,2,4,1,1,,0
21,3,35,4500,3,7860,2310,28,1,1,1,1,,1,2,2,2,1,2,2,2,2,1,,2,,0
20,6,,0,2,8370,4622,29,2,1,5,2,,1,2,2,1,1,2,2,2,2,4,1,1,2,0
22,6,,0,,,,55,2,6,1,2,,1,1,2,2,2,2,2,2,2,4,1,1,,0
08,6,,0,,,,94,2,9,5,2,,1,2,2,1,1,2,2,2,1,4,3,1,,0
01,,,,,,,4,2,8,5,1,,1,2,2,2,1,2,2,2,2,1,,,,0
16,6,,0,,,,80,2,6,1,2,,1,2,2,1,2,1,2,2,2,4,,2,,0
07,,,,,,,9,1,9,5,1,,1,2,2,2,1,2,2,2,2,1,1,1,,0
16,1,30,13100,1,3570,8740,25,1,9,5,2,1,1,2,2,2,1,2,2,2,2,4,1,1,,0
16,1,40,30000,5,9590,9600,56,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
10,,,,,,,12,1,1,5,1,,1,2,2,2,1,2,2,2,2,1,1,1,,0
08,,,,,,,11,2,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
04,,,,,,,7,1,6,5,1,,1,1,2,2,2,2,2,2,2,1,1,1,,0
21,6,,0,,,,76,2,1,2,1,,1,1,2,1,2,2,2,2,2,1,,2,,0
24,1,40,170000,1,7290,1360,36,1,6,1,2,1,1,1,2,2,2,2,2,2,2,5,1,1,,0
19,6,,0,,,,71,2,8,1,2,,1,2,2,1,2,2,2,2,2,4,1,1,,0
18,1,35,150000,1,0770,6355,49,1,1,5,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
18,1,18,5000,1,8660,4040,37,2,6,3,2,1,1,2,2,2,1,2,2,2,2,4,1,1,1,1
21,6,,0,,,,55,2,1,1,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
24,1,50,225000,1,7460,1760,38,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
11,,,0,,,,15,2,8,5,1,,1,2,2,2,1,2,2,2,1,1,1,1,2,0
20,6,,0,,,,81,2,1,2,1,,1,2,2,1,2,2,2,2,2,1,,2,,0
16,6,,0,,,,59,1,1,1,1,,1,2,2,1,2,2,2,2,1,1,,2,,0
23,1,50,178000,1,2190,1760,54,2,1,1,2,,1,1,2,2,2,2,2,2,2,4,1,1,,0
08,,,,,,,11,2,8,5,1,,2,2,2,2,2,2,2,2,2,1,1,1,,1
21,1,40,37000,1,7470,2634,36,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,,2,,0
11,,,,,,,14,1,6,5,2,,1,1,2,2,2,2,2,2,2,5,1,1,,0
09,,,,,,,12,1,1,5,1,,1,2,1,2,2,2,2,2,2,1,,2,,0
22,1,40,65000,2,7870,2205,32,1,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
14,6,,0,,,,83,1,6,1,2,,1,2,2,1,2,2,2,2,1,4,2,1,,0
11,6,,0,,,,75,2,6,1,2,,1,2,1,1,1,2,2,2,2,4,2,1,,0
17,6,,0,1,0770,6260,16,1,1,5,1,,1,2,1,2,2,2,2,2,2,1,,2,,0
16,1,50,40000,2,8270,4622,54,1,6,1,2,1,1,1,2,2,2,2,2,2,2,5,2,1,,0
19,6,,0,,,,60,2,1,3,1,,1,2,1,2,2,2,2,2,2,1,,2,,0
12,,,,,,,14,1,1,5,1,,1,1,2,2,2,2,2,2,2,3,1,1,,0
,,,,,,,2,1,1,5,1,,1,1,2,2,2,2,2,2,2,1,,,,0
21,1,40,0,6,3390,0530,54,2,6,5,2,1,1,2,1,2,2,2,2,2,2,4,2,1,,0
21,1,40,79000,3,7860,2310,47,1,9,3,2,,1,1,2,2,2,2,2,2,2,5,1,1,,0
19,6,30,2300,1,6570,4720,21,1,8,1,1,,1,2,2,2,1,2,2,2,1,1,1,1,,0
20,1,15,2000,3,7860,2545,56,2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,,2,,0
21,1,40,70000,1,8270,4622,41,2,6,1,2,1,1,1,2,2,2,2,2,2,2,4,1,1,2,0
01,,,,,,,3,2,8,5,1,,1,2,2,2,1,2,2,2,2,1,,,,0
21,6,,0,,,,50,2,1,1,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
18,1,50,100000,1,6991,0540,50,1,1,3,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
21,1,35,10000,1,7690,4230,59,2,6,5,2,,2,2,2,2,2,2,2,2,2,4,1,1,,0
,,,,,,,1,2,1,5,1,,1,1,2,2,2,2,2,2,2,1,,,,0
23,1,50,300000,7,6970,2100,49,1,9,1,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
20,6,,0,,,,71,2,1,1,1,,1,2,2,1,2,2,2,2,2,1,,2,,1
03,,,,,,,5,1,8,5,1,,1,1,2,2,2,2,2,2,2,1,1,1,,0
20,1,25,10500,7,8080,5740,68,2,1,5,1,1,1,2,1,1,2,2,2,2,2,1,,2,,0
15,1,50,28000,1,0770,6330,40,1,9,1,2,1,1,1,2,2,2,2,2,2,2,5,2,1,,0
11,,,,,,,13,1,1,5,1,,1,2,1,2,2,2,2,2,2,1,1,1,,0
16,1,40,120000,1,0770,6305,53,1,9,1,2,,1,1,2,2,2,2,2,2,2,4,2,1,,0
23,6,,0,6,7270,2100,71,2,1,3,1,,1,1,1,1,2,2,2,2,2,1,,2,,0
19,1,35,19300,1,8590,5400,24,2,1,5,1,1,1,2,2,2,1,2,2,2,2,1,1,1,2,0
16,1,40,26000,1,8680,4020,61,2,9,3,1,,2,2,2,2,2,2,2,2,2,1,,2,,0
19,6,,0,,,,69,2,1,1,1,,1,1,2,1,2,2,2,2,1,1,,2,,0
16,6,,0,,,,74,2,1,3,1,,1,2,1,1,2,2,2,2,2,1,,2,,0
21,6,,0,1,3490,0440,71,1,1,2,1,,1,2,1,1,2,2,2,2,2,1,,2,,0
21,3,20,8000,1,8564,2700,29,2,1,5,1,,1,2,2,2,1,2,2,2,2,1,,2,2,1
22,1,45,115000,1,7380,1021,36,2,6,4,2,,1,1,2,2,2,2,2,2,2,5,1,1,2,0
16,1,25,8000,1,5071,4720,21,2,6,5,2,4,1,2,1,1,2,2,2,2,2,4,1,1,2,0
16,1,48,30000,1,0770,6360,35,1,9,1,1,1,1,2,1,2,2,2,2,2,2,1,,2,,0
22,1,40,187000,2,8191,3160,44,2,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
01,6,,0,,,,70,2,1,2,1,,1,2,2,1,2,2,2,2,1,1,,2,,1
22,1,40,41000,1,8990,4521,38,1,6,1,2,,1,2,1,2,2,2,2,2,2,4,2,1,,0
04,,,,,,,7,1,9,5,1,,1,2,2,2,1,2,2,2,2,1,,2,,1
01,,,,,,,3,2,1,5,1,,1,2,2,2,1,2,2,2,2,1,,,,0
11,,,,,,,13,1,9,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,1
16,3,,0,6,6170,9130,57,1,1,1,2,,1,2,2,2,1,2,2,2,2,4,3,1,,1
20,1,40,6000,1,8680,4110,22,2,9,5,1,1,1,1,2,2,2,2,2,2,2,1,,2,2,0
22,1,40,160000,1,6871,1065,44,2,1,1,2,,1,1,2,2,2,2,2,2,2,4,2,1,2,0
20,1,40,98000,4,9480,0440,39,1,9,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,,0
21,1,40,0,6,6170,9130,29,2,6,1,2,1,1,2,2,2,1,2,2,2,2,5,2,1,2,0
23,1,60,62000,1,8191,3090,29,2,6,5,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,0
13,6,,0,,,,16,2,8,5,1,,1,2,1,2,2,2,2,2,2,1,,2,2,0
22,1,40,102000,1,6471,2810,33,2,8,1,1,,1,1,2,2,2,2,2,2,2,1,1,1,2,0
21,1,50,250000,1,6881,0010,62,2,2,4,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
23,1,40,143000,4,9470,2100,74,1,1,1,1,,1,1,2,1,1,2,1,2,2,1,,2,,0
18,1,55,25000,1,8470,2360,52,2,1,3,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
22,1,40,105000,1,6992,4810,34,2,1,1,2,,1,1,2,2,2,2,2,2,2,5,,2,1,0
22,3,,0,1,7290,2840,38,1,1,5,1,,1,2,2,2,1,2,2,2,2,1,,2,,0
23,1,60,30000,7,7270,2100,38,1,9,1,1,,1,2,1,2,2,2,2,2,2,1,,2,,0
19,1,40,40000,5,7980,3640,40,2,1,3,1,1,1,2,2,2,1,2,2,2,2,1,1,1,2,0
16,6,,0,,,,31,2,9,1,2,,1,2,2,2,1,2,2,2,2,5,1,1,2,1
21,1,40,684000,1,0770,0220,48,1,9,1,2,1,1,1,2,2,2,2,2,2,2,4,1,1,,0
17,1,40,52000,1,7680,3930,57,2,8,3,2,1,1,1,2,2,2,2,2,2,2,4,1,1,,0
19,6,,0,,,,28,1,9,5,1,,1,2,1,2,2,2,2,2,2,1,,2,,0
21,1,40,200000,1,6695,1021,48,1,1,1,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
19,6,,0,,,,20,1,1,5,1,,1,1,2,2,1,2,2,2,2,1,,2,,0
21,6,,0,2,7970,3645,29,2,8,1,1,,1,1,2,2,2,2,2,2,2,1,1,1,2,0
02,,,,,,,4,1,8,5,1,,1,1,2,2,2,2,2,2,2,1,,,,0
03,,,,,,,7,1,1,5,1,,1,1,2,2,2,2,2,2,2,1,1,1,,0
15,6,,0,,,,81,1,8,1,1,,1,1,2,1,2,2,2,2,2,1,1,1,,0
19,1,28,35000,1,3980,7750,31,1,1,5,1,2,1,1,2,2,2,2,2,2,2,1,,2,,0
12,,,0,,,,15,2,6,5,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
07,,,,,,,11,2,3,5,1,,1,1,2,1,1,2,2,2,2,3,,2,,0
,,,,,,,2,2,8,5,1,,1,1,2,2,2,2,2,2,2,1,,,,0
16,6,,0,,,,82,1,6,1,2,,1,2,2,1,2,2,2,2,1,4,4,1,,1
16,1,40,0,6,0770,5120,57,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
22,1,40,160000,3,7860,2002,52,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
22,1,40,150000,1,7072,0845,65,2,1,1,1,,1,2,1,2,2,2,2,2,2,1,,2,,0
09,1,36,25200,1,8680,4140,27,1,9,5,2,1,1,2,2,2,1,2,2,2,2,5,1,1,,0
10,,,,,,,13,2,8,5,1,,1,2,2,2,1,2,2,2,2,1,1,1,,1
11,,,,,,,14,1,9,5,1,,1,1,2,2,2,2,2,2,2,3,1,1,,0
09,,,,,,,12,2,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
18,3,,0,9,9920,9920,37,2,8,1,2,,1,2,2,2,1,2,2,2,2,4,2,1,2,0
