RELSHIPP,SCHL,SCH,SCHG,ESR,WKHP,WAGP,COW,INDP,OCCP,AGEP,SEX,RAC1P,HISP,MAR,NATIVITY,CIT,ENG,LANX,DRIVESP,JWMNP,JWTRNS,HICOV,PRIVCOV,PUBCOV,DIS,DEAR,DEYE,DPHY,FER,PINCP,SEMP,SSIP,SSP,poverty_status
20,21,1,,1,45,80000,1,7780,5120,34,1,9,01,5,1,1,,2,1,10,01,1,1,2,2,2,2,2,,80000,0,0,0,0
25,19,2,15,1,99,5000,1,8680,4130,21,1,9,01,5,1,1,,2,1,15,01,1,1,2,2,2,2,2,,5000,0,0,0,0
20,18,1,,1,20,500,1,8090,9130,59,1,1,01,1,1,1,,2,1,10,01,1,1,2,2,2,2,2,,500,0,0,0,0
25,06,2,05,,,,,,,9,2,1,02,5,1,1,1,1,,,,1,2,1,2,2,2,2,,,,,,0
21,21,1,,1,12,260,8,0770,5740,35,2,1,01,1,2,5,,2,,,11,2,2,2,2,2,2,2,2,260,0,0,0,0
21,22,1,,6,5,5000,1,7290,0440,57,2,1,01,1,1,1,,2,,,,1,1,2,2,2,2,2,,5000,0,0,0,0
20,13,1,,6,,0,1,6390,9645,49,2,8,02,1,2,5,1,1,,,,1,1,2,2,2,2,2,2,0,0,0,0,0
29,09,1,,2,20,22700,7,7770,4251,54,1,8,11,1,2,5,2,1,,,,1,1,2,2,2,2,2,,22700,0,0,0,0
21,23,1,,1,50,678000,1,7870,3090,48,2,1,01,1,1,1,,2,1,30,01,1,1,2,2,2,2,2,2,678000,0,0,0,0
25,21,1,,1,40,65000,4,9570,1530,25,2,6,01,5,1,1,,2,,,11,1,1,2,2,2,2,2,2,65000,0,0,0,0
34,16,1,,1,30,4000,1,8680,5240,18,2,1,03,5,1,1,,2,1,5,01,2,2,2,2,2,2,2,2,4000,0,0,0,1
21,18,1,,6,,0,,,,65,2,6,01,1,2,4,2,1,,,,1,2,1,2,2,2,2,,7200,0,0,7200,0
20,16,1,,1,40,22000,1,3980,8990,50,2,6,01,1,2,5,3,1,1,15,01,1,1,2,2,2,2,2,2,22000,0,0,0,0
25,14,3,14,6,40,3000,1,8670,2006,17,1,6,01,5,1,1,,2,,,,1,1,2,2,2,2,2,,3000,0,0,0,0
25,21,1,,1,50,50000,1,6590,0750,31,1,2,01,5,1,1,,2,,,11,1,1,2,2,2,2,2,,50000,0,0,0,0
20,22,1,,1,40,115000,1,7460,1650,29,1,6,01,5,2,5,1,1,,35,02,1,1,2,2,2,2,2,,115000,0,0,0,0
21,24,1,,1,50,20000,7,7460,1530,56,1,6,01,1,2,4,1,1,1,30,01,1,1,2,2,2,2,2,,25000,0,0,0,0
27,19,3,15,1,10,25100,1,6070,4830,37,1,6,01,5,2,4,1,1,1,35,01,1,1,2,2,2,2,2,,25100,0,0,0,0
20,20,1,,1,30,0,6,0770,6260,41,1,8,02,3,1,1,,2,1,20,01,1,2,1,2,2,2,2,,12000,12000,0,0,0
25,04,3,03,,,,,,,7,2,9,01,5,1,1,1,1,,,,1,1,2,2,2,2,2,,,,,,0
38,22,1,,6,,0,,,,68,1,1,02,5,1,1,1,1,,,,1,1,1,2,2,2,2,,20000,0,0,20000,0
23,21,1,,6,,0,6,8561,2752,79,2,9,01,1,2,4,1,1,,,,1,2,1,1,2,2,1,,10400,0,0,8400,0
20,19,2,15,1,45,54000,1,8680,4040,29,2,9,03,5,1,1,1,1,1,50,01,1,2,1,1,2,2,2,2,54000,0,0,0,0
32,19,1,,1,40,140000,7,6170,9130,35,1,1,02,1,2,4,1,1,,,11,2,2,2,2,2,2,2,,140000,0,0,0,0
25,10,2,10,,,,,,,13,1,2,01,5,1,1,,2,,,,2,2,2,2,2,2,2,,,,,,0
20,20,1,,1,60,37000,1,6170,9130,65,1,9,02,1,2,4,2,1,1,40,01,1,2,1,2,2,2,2,,50300,0,0,0,0
20,20,2,15,1,25,22900,3,8370,3602,46,2,8,09,1,2,4,2,1,,,11,1,2,1,1,2,2,1,2,27500,0,4600,0,0
32,21,1,,1,40,36000,3,6770,5320,37,1,1,01,1,1,1,,2,,45,02,1,1,2,2,2,2,2,,36000,0,0,0,0
20,21,1,,1,40,300000,1,6671,4850,29,1,1,01,5,1,1,,2,,,11,1,1,2,2,2,2,2,,300000,0,0,0,0
21,13,1,,1,35,6000,1,8680,4020,31,1,8,08,1,2,5,2,1,1,45,01,2,2,2,2,2,2,2,,6000,0,0,0,1
25,,,,,,,,,,1,1,6,01,5,1,1,,,,,,1,1,2,2,2,2,,,,,,,0
22,16,1,,1,40,13000,5,9370,9620,30,1,1,01,3,1,1,,2,1,20,01,1,1,2,2,2,2,2,,13000,0,0,0,1
25,12,2,12,,,0,,,,15,2,1,01,5,1,1,,2,,,,1,1,2,2,2,2,2,2,500,0,0,0,0
25,16,1,,1,60,30000,1,7770,4252,29,1,8,02,5,1,1,1,1,1,20,01,1,2,1,2,2,2,2,,30000,0,0,0,0
25,05,3,04,,,,,,,8,1,1,01,5,1,1,,2,,,,1,1,2,2,2,2,2,,,,,,0
32,17,1,,1,40,29000,1,5392,4700,42,1,1,01,4,1,1,,2,1,30,01,2,2,2,2,2,2,2,,29000,0,0,0,0
22,20,2,15,3,20,10000,1,8680,4055,25,1,1,01,5,1,1,,2,,,,1,2,1,1,1,2,2,,13400,0,2400,0,1
30,16,1,,1,30,0,6,8680,4040,20,2,9,02,5,1,1,,2,1,15,01,1,2,1,2,2,2,2,2,8000,8000,0,0,0
21,24,1,,1,65,240000,4,7870,2205,45,1,1,01,1,2,4,1,1,2,15,01,1,1,2,2,2,2,2,,280000,40000,0,0,0
21,19,1,,6,,0,,,,78,2,1,01,1,1,1,,2,,,,1,2,1,1,2,2,1,,10100,0,0,10100,0
25,21,1,,1,40,56000,1,4796,4760,33,1,9,02,5,2,5,1,1,1,26,01,1,1,2,2,2,2,2,,56000,0,0,0,0
26,02,1,,,,,,,,4,2,1,01,5,1,1,,,,,,1,1,1,2,2,2,,,,,,,0
28,21,1,,1,40,80000,1,3580,1320,33,1,6,01,5,2,4,2,1,3,30,01,1,1,2,2,2,2,2,,80000,0,0,0,0
20,01,1,,1,40,5000,1,0170,6050,58,1,8,02,1,2,5,3,1,2,30,01,1,2,1,2,2,2,2,,5000,0,0,0,0
20,21,1,,1,35,125000,1,7390,0630,35,2,1,01,1,1,1,,2,,,11,1,1,2,2,2,2,2,2,131000,0,0,0,0
34,16,1,,6,,0,,,,73,2,6,01,2,2,4,2,1,,,,1,2,1,2,2,2,2,,19200,0,0,19200,0
30,07,2,06,,,,,,,10,1,8,02,5,1,1,1,1,,,,1,1,2,2,2,2,2,,,,,,0
20,19,1,,6,,0,,,,75,1,8,02,1,1,1,1,1,,,,1,1,1,1,2,2,1,,112300,0,8600,0,0
21,09,1,,1,40,10700,1,4390,8710,56,1,9,02,1,2,5,2,1,1,25,01,1,2,1,2,2,2,2,,10700,0,0,0,0
25,08,2,07,,,,,,,10,1,1,02,5,1,1,1,1,,,,1,1,1,2,2,2,2,,,,,,0
25,03,2,03,,,,,,,6,2,9,02,5,1,1,,2,,,,1,1,2,2,2,2,2,,,,,,0
20,19,1,,1,20,20000,1,8680,4020,33,1,1,01,5,1,1,,2,1,30,01,1,1,2,2,2,2,2,,20000,0,0,0,0
25,12,2,12,6,,0,,,,16,2,3,01,5,1,1,,2,,,,1,2,1,2,2,2,2,1,0,0,0,0,0
20,21,1,,6,,0,,,,62,1,6,01,1,2,4,1,1,,,,1,1,2,2,2,2,2,,75000,0,0,0,0
20,21,1,,1,40,45800,1,7580,0800,54,2,1,01,5,1,1,,2,,,11,1,1,2,2,2,2,2,,45800,0,0,0,0
20,21,1,,6,45,4500,1,6570,2850,29,2,1,01,5,1,1,,2,,,,1,1,2,2,2,2,2,2,16500,0,0,0,0
20,20,1,,1,40,68000,1,2470,8740,61,2,9,19,3,1,1,1,1,2,35,01,1,1,2,2,2,2,2,,73000,0,0,0,0
25,19,2,15,1,15,2000,1,8680,4055,19,1,1,01,5,1,1,,2,1,5,01,1,2,1,2,2,2,2,,2000,0,0,0,1
22,20,1,,1,40,67000,1,8770,7210,26,1,1,01,5,1,1,,2,1,30,01,1,1,2,2,2,2,2,,67350,0,0,0,0
26,12,2,11,,,,,,,14,1,1,01,5,1,1,,2,,,,1,2,1,2,2,2,2,,,,,,0
21,19,1,,6,,0,,,,78,2,1,01,1,1,1,,2,,,,1,1,1,1,2,2,2,,63200,0,19700,0,0
25,09,1,,,,,,,,12,1,9,01,5,1,1,,2,,,,1,1,2,2,2,2,2,,,,,,0
29,23,1,,1,30,12000,1,5090,5120,69,1,1,01,1,2,4,2,1,,,11,1,2,1,2,2,2,2,,12000,0,0,0,0
